Alt (m), Press (Pa), Dens (kg/m^3), Temp (K)
  28501, 1.475745e+03,  2.284304e-02, 2.251000e+02
  28601, 1.453522e+03,  2.248906e-02, 2.252000e+02
  28701, 1.431643e+03,  2.214071e-02, 2.253000e+02
  28801, 1.410103e+03,  2.179791e-02, 2.254000e+02
  28901, 1.388896e+03,  2.146057e-02, 2.255000e+02
  29001, 1.368017e+03,  2.112860e-02, 2.256000e+02
  29101, 1.347462e+03,  2.080190e-02, 2.257000e+02
  29201, 1.327224e+03,  2.048040e-02, 2.258000e+02
  29301, 1.307299e+03,  2.016400e-02, 2.259000e+02
  29401, 1.287681e+03,  1.985263e-02, 2.260000e+02
  29501, 1.268367e+03,  1.954620e-02, 2.261000e+02
  29601, 1.249350e+03,  1.924464e-02, 2.262000e+02
  29701, 1.230627e+03,  1.894785e-02, 2.263000e+02
  29801, 1.212193e+03,  1.865577e-02, 2.264000e+02
  29901, 1.194042e+03,  1.836833e-02, 2.265000e+02
  30001, 1.176171e+03,  1.808543e-02, 2.266000e+02
  30101, 1.158576e+03,  1.780701e-02, 2.267000e+02
  30201, 1.141251e+03,  1.753300e-02, 2.268000e+02
  30301, 1.124193e+03,  1.726332e-02, 2.269000e+02
  30401, 1.107397e+03,  1.699791e-02, 2.270000e+02
  30501, 1.090859e+03,  1.673669e-02, 2.271000e+02
  30601, 1.074575e+03,  1.647960e-02, 2.272000e+02
  30701, 1.058542e+03,  1.622657e-02, 2.273000e+02
  30801, 1.042754e+03,  1.597753e-02, 2.274000e+02
  30901, 1.027209e+03,  1.573242e-02, 2.275000e+02
  31001, 1.011902e+03,  1.549118e-02, 2.276000e+02
  31101, 9.968301e+02,  1.525374e-02, 2.277000e+02
  31201, 9.819889e+02,  1.502004e-02, 2.278000e+02
  31301, 9.673751e+02,  1.479002e-02, 2.279000e+02
  31401, 9.529850e+02,  1.456362e-02, 2.280000e+02
  31501, 9.388151e+02,  1.434078e-02, 2.281000e+02
  31601, 9.248620e+02,  1.412145e-02, 2.282000e+02
  31701, 9.111223e+02,  1.390557e-02, 2.283000e+02
  31801, 8.975926e+02,  1.369308e-02, 2.284000e+02
